date,name,calls,voicemail,call_time,request_type,number_done,pages_sent,time_spent,cds_created,images_clouded,comment
07/20/2023,Elijah Nguyen,242,23,6,Work comp,77,91,1,31,37,
05/10/2023,Liam Patel,177,45,5,Continuing care,97,2979,0,19,45,
07/16/2022,Karen Smith,57,29,6,Continuing care,103,3975,5,35,65,
06/07/2023,Liam Patel,148,70,5,Continuing care,35,4105,0,15,1,
03/29/2022,Karen Smith,160,9,0,Attorney,14,3716,1,2,148,
06/01/2022,Liam Patel,76,68,4,Law enforcement,87,1154,5,30,161,
05/01/2023,Noah Rodriguez,108,17,8,Attorney,67,1838,2,28,146,
02/09/2023,Ava Singh,101,3,8,Law enforcement,98,2495,8,1,134,
01/30/2023,Ava Singh,192,16,5,Insurance,98,4844,8,7,186,
04/04/2022,Elijah Nguyen,187,68,0,Work comp,91,4873,3,16,79,
03/10/2023,Ava Singh,100,39,3,Work comp,31,1505,6,14,30,
03/22/2022,James McCarty,53,52,2,Patient,23,4332,8,43,110,
07/31/2023,Noah Rodriguez,64,57,5,Attorney,93,4944,6,29,37,
12/02/2022,Elijah Nguyen,248,55,5,Attorney,68,4441,3,20,42,
10/13/2023,Karen Smith,212,64,0,Regulatory,91,3968,0,26,145,
07/06/2023,Sophia Kim,26,65,2,Attorney,50,303,6,36,17,
12/16/2023,Karen Smith,177,43,2,Insurance,40,3477,7,44,30,
12/12/2023,James McCarty,133,37,6,Regulatory,1,2018,6,41,164,
03/23/2023,Ava Singh,169,38,1,Insurance,103,4356,2,8,90,
01/17/2022,Ava Singh,197,70,0,Work comp,4,3303,3,43,49,
03/02/2023,James McCarty,79,68,4,Patient,65,2706,1,8,193,
08/18/2022,Ava Singh,132,44,2,Work comp,53,3874,1,16,12,
10/09/2023,Ava Singh,33,9,2,Insurance,49,3847,2,36,134,
02/25/2022,Ava Singh,38,24,4,Attorney,96,3607,7,18,146,
11/20/2022,Ava Singh,88,13,1,Work comp,8,4353,7,6,83,
05/08/2022,Elijah Nguyen,25,30,6,Insurance,54,4162,7,37,192,
10/02/2022,Noah Rodriguez,142,51,3,Patient,37,1922,6,31,89,
08/26/2023,Liam Patel,227,37,6,Continuing care,16,53,1,40,175,
10/20/2023,James McCarty,195,46,2,Continuing care,101,1595,6,21,51,
03/09/2023,Karen Smith,224,58,7,Insurance,44,3869,5,39,98,
05/20/2022,James McCarty,139,35,0,Insurance,46,3893,3,36,24,
04/10/2023,Elijah Nguyen,102,55,4,Continuing care,47,1285,4,6,199,
05/16/2022,Sophia Kim,15,19,2,Insurance,51,2918,7,43,89,
04/14/2023,Elijah Nguyen,241,0,6,Work comp,51,49,1,7,148,
11/22/2023,James McCarty,56,35,1,Work comp,9,1767,6,38,29,
04/03/2022,Sophia Kim,37,24,0,Law enforcement,58,3105,1,13,196,
06/13/2023,Elijah Nguyen,150,28,7,Continuing care,82,949,4,29,36,
05/04/2023,Liam Patel,110,15,4,Law enforcement,35,4736,6,41,164,
03/20/2022,Liam Patel,168,3,8,Regulatory,34,3566,3,10,169,
10/09/2022,Noah Rodriguez,186,59,5,Regulatory,72,1027,8,44,66,
06/16/2022,Sophia Kim,39,31,1,Patient,9,2047,0,40,44,
07/06/2023,Elijah Nguyen,111,5,6,Work comp,3,1566,4,7,187,
11/19/2022,Ava Singh,64,9,2,Insurance,77,1020,0,9,148,
11/19/2022,Elijah Nguyen,115,9,4,Work comp,81,3742,6,23,42,
02/13/2022,Ava Singh,209,65,4,Insurance,77,4958,1,16,123,
03/26/2022,Elijah Nguyen,43,11,1,Continuing care,102,4650,4,3,17,
07/29/2023,Noah Rodriguez,67,55,8,Attorney,88,1488,5,8,160,
11/03/2023,James McCarty,178,73,4,Work comp,94,2224,4,16,15,
06/02/2023,Noah Rodriguez,26,21,7,Insurance,11,726,8,14,132,
12/21/2023,Noah Rodriguez,125,63,5,Attorney,0,2217,6,19,49,
10/18/2022,Sophia Kim,58,33,3,Regulatory,42,942,6,42,149,
10/02/2022,Noah Rodriguez,105,6,1,Law enforcement,37,4804,1,2,115,
04/10/2022,Elijah Nguyen,110,47,1,Continuing care,18,2711,6,12,39,
02/05/2023,Elijah Nguyen,34,21,6,Patient,22,1753,7,10,46,
02/23/2023,Liam Patel,182,7,7,Law enforcement,73,1154,4,28,160,
07/09/2023,Noah Rodriguez,246,65,6,Insurance,103,3566,3,18,78,
08/31/2022,Elijah Nguyen,173,11,1,Work comp,89,2928,4,36,173,
07/06/2023,Noah Rodriguez,41,42,8,Continuing care,32,4528,2,43,79,
11/25/2022,Ava Singh,58,46,8,Continuing care,51,1824,5,16,151,
01/09/2022,Noah Rodriguez,100,28,5,Continuing care,97,3083,7,13,85,
07/15/2023,Karen Smith,35,38,6,Work comp,18,2269,6,33,82,
08/25/2022,Sophia Kim,91,40,3,Insurance,78,376,8,43,44,
10/03/2022,Ava Singh,232,28,0,Work comp,69,1951,6,12,79,
02/18/2022,Karen Smith,117,40,1,Law enforcement,95,12,0,3,116,
08/29/2022,Liam Patel,163,23,4,Patient,47,2777,4,19,12,
10/23/2022,Sophia Kim,55,65,5,Patient,95,1883,5,1,36,
03/11/2023,James McCarty,53,65,7,Law enforcement,12,795,5,37,188,
11/25/2022,Elijah Nguyen,125,70,7,Work comp,77,2382,2,38,109,
05/18/2022,James McCarty,221,4,0,Continuing care,6,3225,1,30,28,
04/06/2023,Liam Patel,165,27,6,Regulatory,28,671,2,38,56,
11/13/2022,Sophia Kim,102,10,3,Patient,50,3862,3,14,41,
04/19/2023,Ava Singh,9,17,2,Attorney,61,2275,4,31,129,
08/30/2023,James McCarty,12,34,2,Insurance,58,1636,2,11,50,
09/06/2023,Liam Patel,119,20,2,Attorney,21,868,3,6,65,
12/13/2022,Sophia Kim,162,15,1,Continuing care,25,3237,8,27,91,
01/13/2023,Elijah Nguyen,94,19,4,Law enforcement,61,241,6,27,18,
09/26/2022,James McCarty,92,70,0,Work comp,20,1879,3,19,158,
06/04/2023,James McCarty,230,46,8,Attorney,33,837,7,22,29,
09/21/2022,Elijah Nguyen,122,4,2,Work comp,93,1137,7,5,167,
06/12/2023,Noah Rodriguez,5,52,7,Regulatory,87,3577,1,21,186,
07/15/2023,James McCarty,132,29,7,Work comp,61,77,8,43,28,
06/13/2023,Sophia Kim,114,72,4,Patient,0,318,0,32,29,
12/28/2022,Sophia Kim,110,29,4,Attorney,95,733,5,25,132,
11/07/2022,Sophia Kim,159,0,7,Insurance,97,4443,5,0,1,
03/28/2022,Karen Smith,241,26,1,Regulatory,100,2791,6,31,76,
11/04/2023,Noah Rodriguez,200,44,6,Attorney,26,4336,4,19,189,
10/14/2023,Noah Rodriguez,60,22,7,Regulatory,44,721,3,8,106,
04/08/2023,Sophia Kim,86,65,4,Work comp,27,2519,2,1,42,
04/13/2022,Noah Rodriguez,195,53,8,Work comp,83,4362,0,15,174,
02/13/2022,Sophia Kim,152,18,1,Insurance,72,4601,5,26,192,
04/05/2022,Liam Patel,20,26,3,Insurance,60,3439,4,22,39,
02/21/2023,Elijah Nguyen,124,45,1,Regulatory,78,1384,5,4,198,
03/24/2022,Noah Rodriguez,219,62,7,Attorney,32,2372,4,4,148,
08/16/2023,James McCarty,70,40,7,Patient,15,2460,2,2,75,
03/17/2022,Liam Patel,27,29,2,Insurance,28,1410,3,37,92,
02/09/2023,Elijah Nguyen,166,50,3,Work comp,73,994,3,11,149,
08/02/2022,James McCarty,194,10,8,Insurance,9,4181,5,20,43,
01/03/2022,Liam Patel,94,50,4,Insurance,76,2722,5,25,114,
05/23/2022,Liam Patel,50,26,1,Law enforcement,0,438,4,9,147,
05/11/2022,Liam Patel,31,52,5,Continuing care,4,740,5,17,107,
12/14/2022,Elijah Nguyen,187,20,0,Regulatory,18,286,4,9,172,
08/02/2022,Sophia Kim,107,53,2,Work comp,41,2643,0,16,78,
05/20/2023,Karen Smith,94,46,6,Continuing care,19,889,3,36,180,
04/26/2023,James McCarty,35,17,5,Work comp,51,3993,0,44,67,
08/09/2023,Sophia Kim,103,25,0,Regulatory,22,3447,0,20,31,
04/29/2023,James McCarty,60,44,1,Continuing care,35,3428,7,27,67,
06/12/2023,James McCarty,142,2,1,Attorney,68,474,1,23,30,
06/30/2023,Elijah Nguyen,13,53,7,Law enforcement,89,4965,0,27,114,
01/17/2023,Liam Patel,162,27,5,Continuing care,3,1844,2,36,193,
05/07/2023,Karen Smith,215,7,8,Law enforcement,39,1543,3,11,56,
12/02/2023,James McCarty,122,52,4,Work comp,103,952,8,18,32,
08/21/2023,James McCarty,102,26,2,Patient,50,2114,3,3,103,
01/20/2023,Ava Singh,115,56,0,Attorney,14,1150,2,19,198,
04/29/2023,James McCarty,62,48,2,Attorney,50,1942,1,2,87,
04/04/2023,Karen Smith,113,36,2,Patient,23,3537,4,42,188,
05/28/2023,Sophia Kim,158,8,4,Regulatory,45,1699,4,44,8,
10/13/2022,Elijah Nguyen,241,3,6,Patient,52,3809,5,1,109,
04/19/2023,Sophia Kim,121,43,4,Attorney,44,1991,2,43,112,
09/10/2022,Sophia Kim,71,0,6,Continuing care,11,109,5,21,67,
11/15/2022,Karen Smith,56,61,5,Patient,64,2605,8,44,185,
12/11/2023,Elijah Nguyen,115,13,2,Regulatory,87,3592,3,39,5,
08/26/2022,Ava Singh,236,20,8,Attorney,26,3547,1,9,113,
03/18/2022,Noah Rodriguez,152,38,7,Attorney,96,4580,6,44,58,
07/26/2022,Karen Smith,38,55,3,Insurance,67,594,2,12,173,
11/22/2022,Karen Smith,214,50,7,Continuing care,45,1685,2,8,74,
12/12/2022,Noah Rodriguez,227,52,3,Law enforcement,88,3460,2,1,58,
04/07/2022,Karen Smith,49,57,7,Law enforcement,29,3970,2,34,198,
11/20/2023,Sophia Kim,116,27,8,Continuing care,96,713,7,37,74,
11/19/2023,Elijah Nguyen,160,57,5,Attorney,34,2261,8,12,150,
02/27/2023,Noah Rodriguez,41,62,6,Work comp,5,2159,4,9,15,
08/10/2023,Elijah Nguyen,62,2,5,Regulatory,46,1091,7,39,0,
11/11/2022,Sophia Kim,98,68,0,Attorney,5,4414,2,6,118,
05/05/2023,Noah Rodriguez,11,70,1,Work comp,95,4781,0,14,0,
11/26/2023,Karen Smith,82,57,8,Patient,53,1173,8,11,172,
11/08/2023,Elijah Nguyen,29,17,7,Work comp,92,4275,4,27,73,
03/04/2023,Noah Rodriguez,76,4,1,Regulatory,75,1034,2,29,28,
06/02/2022,Sophia Kim,128,39,5,Insurance,92,4762,2,4,113,
02/16/2022,Liam Patel,194,5,0,Attorney,15,3996,1,31,117,
04/03/2022,Sophia Kim,71,40,5,Attorney,9,4573,0,0,56,
08/08/2023,Ava Singh,105,12,5,Work comp,75,3825,2,20,117,
06/18/2022,Karen Smith,244,47,2,Insurance,36,1132,5,12,6,
02/12/2023,Noah Rodriguez,54,3,4,Insurance,64,2869,0,18,78,
07/09/2022,Liam Patel,60,6,6,Work comp,60,4581,6,20,15,
10/28/2022,Noah Rodriguez,159,13,3,Patient,89,713,2,31,98,
11/08/2023,Karen Smith,196,55,6,Insurance,62,2944,6,33,138,
03/26/2022,Sophia Kim,32,51,2,Law enforcement,45,4327,5,35,30,
10/23/2023,James McCarty,107,69,2,Work comp,24,4911,5,13,130,
04/02/2023,Sophia Kim,246,3,8,Work comp,2,4204,1,43,149,
08/25/2022,Noah Rodriguez,29,12,1,Continuing care,24,2615,7,26,64,
12/29/2023,Liam Patel,162,1,6,Attorney,53,2302,0,28,130,
11/22/2023,James McCarty,91,7,2,Continuing care,25,2512,5,36,186,
09/15/2022,Liam Patel,230,30,5,Work comp,15,4389,8,13,0,
09/30/2023,James McCarty,29,47,1,Patient,88,1349,0,9,82,
09/25/2022,Karen Smith,99,37,6,Insurance,78,2456,2,38,167,
05/23/2022,Elijah Nguyen,196,63,0,Insurance,64,2689,7,10,96,
09/16/2022,Karen Smith,159,62,2,Law enforcement,5,3267,5,24,189,
05/11/2023,Ava Singh,62,8,1,Regulatory,65,1592,6,41,34,
11/19/2022,Noah Rodriguez,239,58,4,Insurance,63,4881,6,38,113,
12/04/2023,Karen Smith,68,29,1,Attorney,61,2098,4,2,45,
01/19/2023,Sophia Kim,36,38,2,Attorney,0,2422,8,16,192,
12/15/2022,Ava Singh,214,5,5,Work comp,76,2098,5,10,143,
11/26/2022,Sophia Kim,26,2,6,Attorney,42,546,2,17,56,
10/17/2023,James McCarty,73,43,6,Patient,20,756,6,23,38,
11/16/2022,Ava Singh,123,20,6,Patient,36,4754,2,34,98,
04/04/2022,Noah Rodriguez,114,43,0,Attorney,46,1686,4,31,177,
07/13/2022,Noah Rodriguez,207,12,8,Continuing care,31,1165,1,0,114,
07/22/2023,Sophia Kim,131,43,6,Patient,84,1175,1,29,179,
05/11/2022,James McCarty,237,39,5,Work comp,59,171,8,0,175,
04/12/2022,Karen Smith,69,2,0,Insurance,71,3819,7,29,34,
06/22/2022,Liam Patel,7,36,3,Attorney,71,1997,0,19,145,
02/14/2023,Noah Rodriguez,26,65,8,Continuing care,27,1208,5,7,154,
04/23/2022,Elijah Nguyen,73,54,4,Law enforcement,25,4771,2,15,135,
11/13/2022,James McCarty,242,68,0,Regulatory,58,2523,6,12,135,
12/19/2023,Liam Patel,179,45,8,Attorney,14,3393,2,18,186,
01/06/2023,Elijah Nguyen,84,2,1,Regulatory,43,3633,2,7,0,
08/01/2022,Ava Singh,223,19,5,Insurance,102,3284,4,31,105,
11/09/2023,Karen Smith,216,52,8,Regulatory,72,3630,8,26,23,
06/12/2023,Noah Rodriguez,94,43,6,Continuing care,94,2742,7,8,116,
08/16/2022,Liam Patel,1,29,4,Regulatory,31,2795,2,44,3,
01/15/2022,Elijah Nguyen,121,57,7,Regulatory,38,372,8,10,124,
01/05/2023,Karen Smith,93,9,7,Insurance,86,3064,2,25,179,
10/27/2023,Noah Rodriguez,68,13,0,Patient,16,3416,7,15,102,
03/16/2023,Sophia Kim,70,28,7,Regulatory,89,2528,8,29,63,
03/12/2022,Noah Rodriguez,47,63,8,Law enforcement,50,964,5,5,119,
04/29/2022,Karen Smith,188,18,0,Continuing care,93,3919,3,35,185,
05/12/2022,Elijah Nguyen,241,22,4,Attorney,45,2253,3,4,72,
01/02/2022,Noah Rodriguez,142,52,4,Patient,62,611,6,19,65,
02/11/2023,Liam Patel,226,0,1,Attorney,93,3730,1,12,198,
05/16/2023,Sophia Kim,206,29,6,Continuing care,2,4625,5,15,19,
12/14/2023,James McCarty,180,23,3,Patient,3,1333,3,30,190,
12/11/2022,Elijah Nguyen,57,64,6,Insurance,82,1764,4,36,158,
11/29/2022,Sophia Kim,235,39,8,Work comp,31,915,8,15,152,
07/14/2023,Sophia Kim,181,25,7,Law enforcement,103,4112,6,4,66,
12/11/2023,Liam Patel,20,34,0,Insurance,70,391,7,2,179,
08/10/2023,Sophia Kim,128,74,2,Regulatory,26,2274,4,41,113,
01/13/2022,Sophia Kim,215,71,0,Work comp,42,3876,3,13,82,
04/28/2022,Noah Rodriguez,24,51,4,Attorney,67,4354,3,25,72,
11/03/2023,Elijah Nguyen,34,29,6,Insurance,100,153,8,19,108,
02/26/2022,Ava Singh,122,7,5,Insurance,55,516,5,28,174,
07/21/2022,Ava Singh,44,73,8,Patient,63,2584,4,43,151,
01/27/2023,James McCarty,131,60,6,Attorney,103,4702,5,38,198,
03/22/2022,Karen Smith,80,1,5,Insurance,93,3415,3,20,184,
08/02/2023,Karen Smith,35,52,8,Insurance,48,4553,7,28,154,
09/05/2022,Liam Patel,166,50,5,Patient,49,3732,3,1,43,
05/25/2022,Noah Rodriguez,164,41,7,Attorney,90,1559,1,15,77,
11/22/2022,Liam Patel,172,64,5,Patient,48,4958,0,32,197,
04/05/2023,Ava Singh,23,17,3,Work comp,23,3733,0,14,96,
02/18/2022,James McCarty,1,45,8,Work comp,12,2938,2,33,142,
11/08/2023,Sophia Kim,214,69,6,Law enforcement,60,3399,2,21,68,
10/13/2023,Ava Singh,234,5,1,Attorney,80,2127,4,16,3,
04/13/2023,Sophia Kim,153,38,5,Work comp,43,1184,4,35,64,
12/26/2023,Sophia Kim,188,63,2,Regulatory,27,1789,0,27,87,
10/27/2022,Liam Patel,70,74,0,Insurance,42,3729,2,7,35,
12/18/2023,Noah Rodriguez,150,20,4,Insurance,90,1249,1,14,191,
04/06/2022,Liam Patel,170,60,4,Work comp,40,2818,8,12,125,
01/01/2023,Sophia Kim,236,49,1,Insurance,100,1200,0,16,18,
03/09/2023,Sophia Kim,9,48,6,Regulatory,48,223,1,19,170,
12/22/2022,Noah Rodriguez,60,3,5,Attorney,47,4851,1,7,145,
06/02/2022,Liam Patel,181,35,1,Insurance,16,4506,4,42,3,
10/31/2023,Elijah Nguyen,44,33,0,Attorney,103,1432,4,1,171,
04/12/2023,Sophia Kim,0,31,0,Continuing care,31,1132,6,27,123,
05/01/2023,Sophia Kim,245,65,0,Continuing care,74,1341,6,30,40,
06/21/2023,Sophia Kim,244,1,3,Regulatory,8,1937,1,19,182,
05/02/2023,Sophia Kim,78,49,1,Insurance,22,2084,0,28,192,
02/17/2022,James McCarty,130,49,7,Patient,87,1508,2,6,115,
08/19/2022,Karen Smith,148,9,7,Patient,20,277,2,30,70,
06/02/2023,Elijah Nguyen,106,65,2,Work comp,89,2534,0,18,16,
02/27/2022,James McCarty,67,71,2,Continuing care,26,600,2,42,2,
01/08/2022,Karen Smith,45,72,1,Continuing care,88,148,2,38,17,
08/01/2022,Noah Rodriguez,158,53,1,Attorney,42,919,2,13,113,
02/13/2022,Liam Patel,106,66,2,Patient,64,2913,7,10,58,
11/16/2022,Elijah Nguyen,61,27,0,Work comp,71,4512,5,8,185,
04/12/2023,Karen Smith,176,26,1,Law enforcement,54,4980,6,8,162,
08/11/2022,Liam Patel,209,51,2,Insurance,3,3772,1,38,165,
06/07/2022,Elijah Nguyen,84,64,5,Law enforcement,2,3375,4,8,150,
07/05/2022,Noah Rodriguez,38,14,7,Attorney,17,916,4,26,74,
04/20/2023,Liam Patel,68,55,8,Attorney,47,315,1,37,60,
04/26/2023,Noah Rodriguez,119,20,4,Patient,28,4762,6,16,166,
08/27/2022,Karen Smith,190,46,0,Continuing care,27,950,2,31,187,
09/07/2023,James McCarty,6,50,2,Law enforcement,2,182,4,38,146,
03/10/2023,Karen Smith,242,9,3,Regulatory,63,2143,6,18,51,
12/16/2022,Liam Patel,225,56,2,Continuing care,42,2490,1,21,93,
10/30/2023,Ava Singh,237,34,7,Attorney,32,3147,0,27,134,
12/15/2022,Karen Smith,20,12,1,Insurance,66,1028,4,23,35,
02/02/2022,Liam Patel,114,60,7,Attorney,81,2054,2,15,120,
01/12/2022,Karen Smith,69,58,4,Attorney,99,4978,3,30,90,
12/05/2022,Ava Singh,211,18,0,Attorney,7,3688,1,4,24,
07/06/2022,Sophia Kim,201,13,1,Continuing care,87,771,0,9,86,
05/31/2023,Karen Smith,238,73,2,Attorney,40,2887,5,31,99,
08/16/2022,Noah Rodriguez,180,40,4,Insurance,91,1537,5,35,139,
11/22/2023,Liam Patel,148,30,7,Continuing care,48,4609,1,11,170,
04/06/2023,Elijah Nguyen,239,7,4,Regulatory,91,1868,5,5,71,
09/02/2023,Elijah Nguyen,183,69,1,Regulatory,103,1146,0,18,39,
07/06/2023,Karen Smith,19,70,2,Regulatory,81,453,0,25,2,
09/16/2023,Sophia Kim,124,14,8,Patient,51,341,1,13,13,
07/04/2023,Noah Rodriguez,156,32,4,Regulatory,18,4630,6,13,45,
06/16/2023,James McCarty,88,39,4,Regulatory,54,4384,4,27,180,
01/04/2022,James McCarty,61,66,8,Law enforcement,27,1429,0,1,63,
02/09/2022,Elijah Nguyen,208,39,4,Patient,16,1090,8,33,90,
12/30/2023,Sophia Kim,83,59,6,Work comp,100,452,8,5,106,
01/11/2023,Ava Singh,85,22,6,Work comp,72,1120,3,34,145,
07/25/2023,Elijah Nguyen,152,64,8,Law enforcement,15,2328,3,10,131,
04/01/2023,Sophia Kim,176,35,8,Insurance,40,1009,0,40,33,
04/28/2022,Liam Patel,115,64,3,Continuing care,63,3908,2,19,190,
04/22/2023,Karen Smith,181,12,0,Patient,56,472,5,40,12,
11/06/2022,Elijah Nguyen,41,62,1,Patient,22,1363,3,5,148,
05/23/2023,Karen Smith,189,16,2,Work comp,101,4192,0,3,160,
04/22/2023,Karen Smith,70,12,3,Insurance,38,4080,1,0,46,
02/10/2023,Elijah Nguyen,87,24,0,Law enforcement,20,791,3,30,129,
09/24/2023,James McCarty,40,34,7,Patient,70,64,4,14,113,
04/09/2022,Liam Patel,233,15,1,Law enforcement,80,527,4,42,104,
09/25/2022,Karen Smith,231,7,8,Regulatory,57,3933,3,2,38,
07/14/2022,Liam Patel,171,1,5,Continuing care,46,1002,6,35,158,
02/26/2023,Karen Smith,1,65,5,Law enforcement,23,759,7,5,35,
09/30/2022,Liam Patel,108,22,4,Insurance,29,1216,1,39,134,
06/09/2022,Liam Patel,233,27,2,Insurance,93,2985,8,11,50,
07/31/2023,Elijah Nguyen,171,37,4,Work comp,90,1993,1,35,120,
02/13/2023,Ava Singh,55,20,1,Insurance,25,3473,7,10,194,
05/02/2022,Elijah Nguyen,115,21,6,Work comp,37,4,5,0,182,
09/07/2023,Elijah Nguyen,131,22,2,Insurance,2,419,2,24,144,
12/05/2023,Noah Rodriguez,236,50,2,Work comp,0,517,3,26,162,
10/04/2023,Noah Rodriguez,23,34,0,Attorney,35,84,0,27,176,
10/16/2022,James McCarty,230,7,6,Work comp,53,4904,4,15,91,
04/09/2023,James McCarty,145,51,4,Continuing care,57,918,3,10,95,
08/30/2022,Ava Singh,185,72,8,Patient,64,4611,4,9,199,
10/01/2023,Liam Patel,20,46,0,Attorney,85,4175,3,23,18,
04/10/2023,Ava Singh,176,5,1,Regulatory,86,994,6,40,144,
04/17/2023,Sophia Kim,91,65,8,Attorney,51,2813,3,5,89,
01/20/2023,Karen Smith,130,53,8,Patient,84,3134,2,10,95,
10/24/2022,Ava Singh,209,58,3,Attorney,21,3768,6,29,159,
06/20/2022,Karen Smith,69,31,1,Regulatory,78,837,7,2,95,
11/25/2023,Sophia Kim,27,16,4,Work comp,18,1278,3,21,197,
04/11/2023,Elijah Nguyen,150,53,4,Attorney,77,345,7,31,24,
11/11/2023,Sophia Kim,16,28,1,Patient,6,3526,7,7,185,
09/02/2023,Elijah Nguyen,225,30,3,Work comp,34,1522,0,29,197,
02/12/2023,Liam Patel,211,54,3,Continuing care,22,2864,1,34,7,
12/09/2023,Sophia Kim,96,66,4,Regulatory,46,2000,4,28,78,
06/12/2022,Ava Singh,169,63,4,Regulatory,99,2408,4,10,54,
04/11/2022,Elijah Nguyen,44,47,6,Law enforcement,73,3167,7,39,151,
09/15/2023,Elijah Nguyen,27,1,0,Law enforcement,55,3436,1,44,193,
08/13/2023,Noah Rodriguez,213,56,0,Law enforcement,26,4485,4,37,121,
03/09/2022,Ava Singh,132,5,1,Insurance,5,1486,3,39,3,
06/17/2023,Liam Patel,100,63,5,Insurance,42,1887,7,8,32,
08/20/2022,Sophia Kim,64,26,1,Regulatory,76,3,0,4,106,
11/17/2022,Karen Smith,17,42,4,Insurance,93,2601,4,9,58,
07/12/2022,Ava Singh,217,73,5,Regulatory,96,4434,4,30,23,
02/21/2023,James McCarty,213,10,8,Regulatory,59,658,8,27,100,
11/30/2022,Sophia Kim,245,63,0,Patient,46,535,3,16,136,
01/23/2022,Karen Smith,89,50,4,Attorney,30,243,0,39,111,
04/09/2022,Liam Patel,246,0,3,Law enforcement,9,4719,6,9,20,
07/12/2023,Noah Rodriguez,183,18,3,Law enforcement,92,2919,6,26,8,
12/10/2023,Noah Rodriguez,79,51,4,Regulatory,35,3491,3,27,17,
07/13/2022,James McCarty,111,25,2,Patient,103,4806,1,1,25,
09/04/2022,Liam Patel,129,9,0,Attorney,103,438,6,18,172,
08/23/2023,James McCarty,126,66,2,Attorney,85,54,8,33,26,
06/11/2022,Ava Singh,49,69,1,Insurance,97,296,2,31,104,
11/22/2022,James McCarty,10,32,3,Patient,70,45,7,7,13,
03/12/2023,Elijah Nguyen,162,49,4,Attorney,76,492,8,35,38,
11/28/2023,Elijah Nguyen,34,25,0,Insurance,62,875,1,14,59,
07/17/2022,James McCarty,174,46,8,Regulatory,19,1901,7,37,125,
05/30/2022,Karen Smith,25,47,8,Work comp,73,31,5,14,38,
08/19/2023,Liam Patel,120,71,0,Attorney,27,1059,1,15,56,
05/31/2023,Karen Smith,152,38,7,Patient,43,2655,8,29,161,
03/11/2023,James McCarty,244,16,4,Attorney,92,3149,1,24,190,
08/26/2022,Elijah Nguyen,76,9,8,Regulatory,90,1286,7,37,87,
04/05/2022,Liam Patel,125,71,1,Insurance,77,4325,3,19,61,
09/05/2022,Ava Singh,11,13,4,Work comp,73,623,6,44,165,
09/09/2023,Elijah Nguyen,81,43,1,Law enforcement,21,3688,2,37,100,
01/02/2022,Liam Patel,141,51,2,Insurance,76,3912,8,32,100,
01/26/2023,Sophia Kim,152,16,8,Attorney,98,3202,8,18,120,
04/10/2022,Liam Patel,107,1,3,Continuing care,8,362,2,7,152,
07/01/2022,James McCarty,229,65,2,Law enforcement,66,4668,5,41,21,
01/23/2023,Liam Patel,166,63,8,Insurance,51,3918,4,4,32,
05/14/2023,Elijah Nguyen,89,56,7,Work comp,82,1658,6,36,154,
10/17/2022,Liam Patel,175,42,3,Regulatory,77,2807,0,8,106,
07/10/2023,Sophia Kim,66,53,3,Attorney,15,1026,3,1,161,
07/31/2023,Elijah Nguyen,47,74,8,Law enforcement,52,3608,4,16,136,
04/29/2023,Karen Smith,241,61,5,Continuing care,89,1360,6,26,195,
09/19/2022,Ava Singh,230,71,4,Law enforcement,85,211,3,34,0,
03/08/2023,James McCarty,189,21,3,Law enforcement,86,611,5,0,165,
02/28/2023,Sophia Kim,25,45,1,Continuing care,61,3365,0,33,45,
05/16/2022,Ava Singh,41,60,8,Law enforcement,66,2489,3,33,173,
05/29/2022,Noah Rodriguez,38,69,1,Insurance,35,3123,4,22,128,
01/04/2022,Karen Smith,73,64,0,Regulatory,96,2250,0,8,88,
12/07/2023,Ava Singh,184,64,0,Insurance,59,4898,1,15,138,
07/09/2022,Noah Rodriguez,200,25,1,Insurance,83,1406,2,17,72,
12/16/2022,Ava Singh,107,49,1,Law enforcement,64,4253,3,7,187,
05/24/2022,James McCarty,124,3,8,Continuing care,33,4737,4,40,38,
04/30/2023,Ava Singh,179,2,4,Law enforcement,94,3041,6,42,70,
01/17/2023,Karen Smith,32,56,1,Law enforcement,31,4081,0,42,127,
06/14/2023,Noah Rodriguez,157,51,7,Attorney,99,1012,2,22,87,
03/05/2022,Ava Singh,189,21,3,Regulatory,27,4063,8,7,114,
01/22/2023,Liam Patel,213,35,5,Work comp,77,93,0,37,15,
11/15/2023,Karen Smith,178,74,6,Law enforcement,36,4734,8,41,170,
04/25/2022,Karen Smith,171,37,6,Insurance,26,3231,1,34,98,
08/04/2023,Elijah Nguyen,231,73,4,Patient,38,4129,5,29,84,
12/19/2022,Karen Smith,143,37,7,Work comp,17,4957,6,14,174,
06/14/2022,Karen Smith,191,3,3,Work comp,32,1156,8,22,189,
06/28/2022,Karen Smith,8,33,4,Regulatory,89,1756,3,36,80,
12/15/2022,Elijah Nguyen,168,74,7,Insurance,97,4911,5,9,98,
01/24/2022,James McCarty,86,8,4,Law enforcement,88,1901,4,19,186,
07/26/2023,Ava Singh,188,11,2,Attorney,55,3656,0,7,70,
03/15/2023,Karen Smith,1,0,3,Regulatory,97,2902,3,35,193,
11/18/2023,Noah Rodriguez,187,23,0,Continuing care,63,3757,7,42,121,
10/22/2023,Ava Singh,69,57,5,Attorney,98,1064,3,22,158,
02/08/2023,Ava Singh,179,14,4,Work comp,35,2878,3,40,143,
